Country,years
Afghanistan,63.514
Albania,79.77
Algeria,76.637
American Samoa,
Andorra,
Angola,59.992
Antigua and Barbuda,77.36
Argentina,78.966
Armenia,76.897
Aruba,77.695
Australia,84.3
Austria,83.6
Azerbaijan,74.531
"Bahamas, The",74.771
Bahrain,77.392
Bangladesh,72.159
Barbados,79.945
Belarus,77.6
Belgium,83.1
Belize,75.683
Benin,61.262
Bermuda,85.55
Bhutan,69.466
Bolivia,71.643
Bosnia and Herzegovina,78.816
Botswana,66.015
Brazil,77.929
British Virgin Islands,
Brunei Darussalam,76.156
Bulgaria,77.9
Burkina Faso,58.91
Burundi,60.328
Cabo Verde,74.89
Cambodia,69.47
Cameroon,57.377
Canada,83.8
Cayman Islands,
Central African Republic,50.242
Chad,53.294
Channel Islands,84.058
Chile,81.99
China,77.284
Colombia,78.789
Comoros,64.263
"Congo, Dem. Rep.",59.346
"Congo, Rep.",62.515
Costa Rica,81.601
Cote d'Ivoire,55.609
Croatia,80.1
Cuba,80.435
Curacao,80.7
Cyprus,82.04
Czech Republic,81.2
Denmark,82.1
Djibouti,63.066
Dominica,
Dominican Republic,75.764
Ecuador,78.407
"Egypt, Arab Rep.",72.97
El Salvador,76.203
Equatorial Guinea,57.562
Eritrea,65.348
Estonia,81.5
Eswatini,53.012
Ethiopia,65.065
Faroe Islands,83.6
Fiji,68.496
Finland,83.7
France,85.4
French Polynesia,78.467
Gabon,64.395
"Gambia, The",61.508
Georgia,76.623
Germany,83.1
Ghana,62.648
Gibraltar,
Greece,83.4
Greenland,73.65
Grenada,75.258
Guam,81.692
Guatemala,75.394
Guinea,58.402
Guinea-Bissau,57.876
Guyana,72.023
Haiti,63.346
Honduras,76.185
"Hong Kong SAR, China",86.4
Hungary,78.7
Iceland,84.3
India,68.68
Indonesia,72.047
"Iran, Islamic Rep.",76.06
Iraq,71.609
Ireland,83.1
Isle of Man,
Israel,83.6
Italy,84.8
Jamaica,75.551
Japan,86.41
Jordan,75.424
Kazakhstan,74.33
Kenya,64.815
Kiribati,70.429
"Korea, Dem. People’s Rep.",73.761
"Korea, Rep.",84.2
Kosovo,72.7
Kuwait,75.779
Kyrgyz Republic,74.1
Lao PDR,67.061
Latvia,78.9
Lebanon,80.586
Lesotho,50.531
Liberia,62.224
Libya,75.012
Liechtenstein,85.2
Lithuania,79.6
Luxembourg,83.8
"Macao SAR, China",86.059
Madagascar,65.777
Malawi,61.562
Malaysia,77.105
Maldives,78.268
Mali,56.769
Malta,83
Marshall Islands,
Mauritania,64.809
Mauritius,77.5
Mexico,77.922
"Micronesia, Fed. Sts.",68.507
Moldova,74.752
Monaco,
Mongolia,72.46
Montenegro,78.208
Morocco,76.233
Mozambique,56.466
Myanmar,67.803
Namibia,61.746
Nauru,
Nepal,69.843
Netherlands,83
New Caledonia,80.11148661
New Zealand,83
Nicaragua,76.227
Niger,59.886
Nigeria,52.579
North Macedonia,77.064
Northern Mariana Islands,
Norway,83.5
Oman,78.638
Pakistan,66.813
Palau,
Panama,80.297
Papua New Guinea,64.002
Paraguay,75.08
Peru,77.527
Philippines,74.471
Poland,81.1
Portugal,83.6
Puerto Rico,82.603
Qatar,81.049
Romania,78.1
Russian Federation,75.86
Rwanda,67.258
Samoa,74.424
San Marino,86.8
Sao Tome and Principe,70.601
Saudi Arabia,75.871
Senegal,67.152
Serbia,77.5
Seychelles,79.5
Sierra Leone,51.878
Singapore,84.3
Sint Maarten (Dutch part),77.1
Slovak Republic,79.9
Slovenia,83.3
Solomon Islands,73.184
Somalia,56.363
South Africa,63.236
South Sudan,57.178
Spain,85.5
Sri Lanka,79.235
St. Kitts and Nevis,
St. Lucia,76.556
St. Martin (French part),82.3
St. Vincent and the Grenadines,74.47
Sudan,65.284
Suriname,74.178
Sweden,83.6
Switzerland,84.9
Syrian Arab Republic,76.522
Tajikistan,71.773
Tanzania,62.482
Thailand,78.64
Timor-Leste,69.489
Togo,59.365
Tonga,72.202
Trinidad and Tobago,75.158
Tunisia,77.578
Turkey,78.541
Turkmenistan,70.652
Turks and Caicos Islands,
Tuvalu,
Uganda,60.683
Ukraine,76.02
United Arab Emirates,78.143
United Kingdom,82.8
United States,81.2
Uruguay,80.632
Uzbekistan,72.685
Vanuatu,71.078
"Venezuela, RB",76.991
Vietnam,79.027
Virgin Islands (U.S.),82.1
West Bank and Gaza,74.817
"Yemen, Rep.",67.617
Zambia,60.708
Zimbabwe,56.578
,
,
,
Data from database: World Development Indicators,
Last Updated: 02/17/2021,
